lake,season,observations,mean_proxy,mean_high_percent
amatitlan,lluviosa,1,67.09962463378906,93.2791259052217
amatitlan,seca,10,14.785596466064453,19.790974767341986
atitlan,lluviosa,3,3.9466822942097983,0.14291600706961952
atitlan,seca,8,8.421736240386963,2.1706998289052764
