lake,scenes,first_date,last_date,eligible_population,population_positive,population_positive_percent,sample_n,sample_positive_percent,B02_mean,B02_median,B02_std,B03_mean,B03_median,B03_std,B08_mean,B08_median,B08_std,B11_mean,B11_median,B11_std,B12_mean,B12_median,B12_std
amatitlan,11,2025-01-28,2026-06-19,258052,85494,33.13053183079379,10128,45.695102685624015,0.031887904,0.0298,0.023810964,0.050555117,0.0543,0.030328775,0.028601965,0.025249999,0.02822821,0.014895024,0.0138,0.012981417,0.0126616005,0.01,0.010417327
atitlan,11,2025-01-18,2026-07-22,1797716,18063,1.0047749477670556,8440,34.834123222748815,0.020624597,0.0195,0.0074891765,0.016656091,0.0148,0.007868305,0.010377856,0.0048,0.023335306,0.004556671,0.0036,0.0037381344,0.0039354977,0.0033,0.0030587392
