strategy,model,n_test,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp
random_70_30,Logistic regression,5571,0.7420570813139472,0.6756529064869419,0.7062967855570234,0.6906350914962325,0.860997825013677,2530,770,667,1604
random_70_30,Random forest,5571,0.871836295099623,0.8250521920668058,0.8701012769704976,0.8469781397342477,0.9500659167634068,2881,419,295,1976
random_70_30,Gradient boosting,5571,0.8397056183809011,0.7805374592833876,0.8441215323645971,0.811085254918553,0.9200682518714223,2761,539,354,1917
