strategy,experiment,train_lake,evaluation_lake,model,n_train,n_test,test_classes,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,mixed_random_accuracy,mixed_random_precision,mixed_random_recall,mixed_random_f1,mixed_random_roc_auc,delta_accuracy,delta_precision,delta_recall,delta_f1,delta_roc_auc
cross_lake,atitlan_to_amatitlan,atitlan,amatitlan,Logistic regression,8440,10128,2,0.4958530805687204,0.475057399290336,0.9835782195332757,0.6406755805770584,0.7760839553704721,470,5030,76,4552,0.7420570813139472,0.6756529064869419,0.7062967855570234,0.6906350914962325,0.860997825013677,-0.2462040007452268,-0.20059550719660585,0.2772814339762524,-0.049959510919174055,-0.08491386964320491
cross_lake,atitlan_to_amatitlan,atitlan,amatitlan,Random forest,8440,10128,2,0.4714652448657188,0.46366643279542946,0.9995678478824547,0.633481684354673,0.6793793116995365,149,5351,2,4626,0.871836295099623,0.8250521920668058,0.8701012769704976,0.8469781397342477,0.9500659167634068,-0.40037105023390424,-0.36138575927137634,0.12946657091195712,-0.21349645537957473,-0.2706866050638703
cross_lake,atitlan_to_amatitlan,atitlan,amatitlan,Gradient boosting,8440,10128,2,0.47422985781990523,0.46473029045643155,0.9922212618841832,0.6329864222206906,0.6935836017914669,211,5289,36,4592,0.8397056183809011,0.7805374592833876,0.8441215323645971,0.811085254918553,0.9200682518714223,-0.36547576056099584,-0.31580716882695603,0.14809972951958617,-0.17809883269786242,-0.22648465007995533
cross_lake,amatitlan_to_atitlan,amatitlan,atitlan,Logistic regression,10128,8440,2,0.7222748815165877,0.9966666666666667,0.20340136054421767,0.33785310734463275,0.8661617810760668,5498,2,2342,598,0.7420570813139472,0.6756529064869419,0.7062967855570234,0.6906350914962325,0.860997825013677,-0.019782199797359512,0.3210137601797248,-0.5028954250128057,-0.3527819841515997,0.00516395606238973
cross_lake,amatitlan_to_atitlan,amatitlan,atitlan,Random forest,10128,8440,2,0.7305687203791469,0.9868421052631579,0.22959183673469388,0.37251655629139074,0.6004625850340136,5491,9,2265,675,0.871836295099623,0.8250521920668058,0.8701012769704976,0.8469781397342477,0.9500659167634068,-0.14126757472047613,0.16178991319635205,-0.6405094402358037,-0.474461583442857,-0.3496033317293932
cross_lake,amatitlan_to_atitlan,amatitlan,atitlan,Gradient boosting,10128,8440,2,0.7281990521327014,0.9792284866468842,0.22448979591836735,0.36524626452684006,0.4860170995670996,5486,14,2280,660,0.8397056183809011,0.7805374592833876,0.8441215323645971,0.811085254918553,0.9200682518714223,-0.11150656624819966,0.19869102736349664,-0.6196317364462297,-0.44583899039171293,-0.4340511523043227
