lake,observations,mean_chlorophyll_proxy,maximum_chlorophyll_proxy,mean_high_value_percent,maximum_high_value_percent,bloom_date_frequency_percent
amatitlan,11,19.54141720858487,67.09962463378906,26.471715779876504,93.2791259052217,81.81818181818183
atitlan,11,7.2012669823386455,39.13433074951172,1.617667877495552,13.922486714916499,9.090909090909092
