lake,date,chlorophyll_proxy
atitlan,2025-01-18,183.23397827148438
atitlan,2025-01-18,4.071000099182129
atitlan,2025-01-18,21.41470718383789
atitlan,2025-01-18,4.798442840576172
atitlan,2025-01-18,101.9029541015625
atitlan,2025-01-18,4.771119594573975
atitlan,2025-01-18,3.364840507507324
atitlan,2025-01-18,3.2467617988586426
atitlan,2025-01-18,4.071000099182129
atitlan,2025-01-18,2.5766048431396484
atitlan,2025-01-18,4.79844331741333
atitlan,2025-01-18,21.41470718383789
atitlan,2025-01-18,8.436944961547852
atitlan,2025-01-18,6.16354513168335
atitlan,2025-01-18,4.692849636077881
atitlan,2025-01-18,12.265751838684082
atitlan,2025-01-18,29.974178314208984
atitlan,2025-01-18,4.403347969055176
atitlan,2025-01-18,44.87362289428711
atitlan,2025-01-18,3.5525808334350586
atitlan,2025-01-18,4.071000099182129
atitlan,2025-01-18,5.9650115966796875
atitlan,2025-01-18,12.897310256958008
atitlan,2025-01-18,21.41470718383789
atitlan,2025-01-18,107.69994354248047
atitlan,2025-01-18,5.594498634338379
atitlan,2025-01-18,4.864800453186035
atitlan,2025-01-18,11.344829559326172
atitlan,2025-01-18,4.74640417098999
atitlan,2025-01-18,3.6942577362060547
atitlan,2025-01-18,228.8552703857422
atitlan,2025-01-18,1.7752878665924072
atitlan,2025-01-18,29.974178314208984
atitlan,2025-01-18,5.740999221801758
atitlan,2025-01-18,5.076744079589844
atitlan,2025-01-18,7.426362037658691
atitlan,2025-01-18,4.071000099182129
atitlan,2025-01-18,4.771119594573975
atitlan,2025-01-18,2.9758124351501465
atitlan,2025-01-18,5.033270359039307
atitlan,2025-01-18,21.41470718383789
atitlan,2025-01-18,5.1378045082092285
atitlan,2025-01-18,4.071000099182129
atitlan,2025-01-18,14.37572193145752
atitlan,2025-01-18,44.87362289428711
atitlan,2025-01-18,8.286064147949219
atitlan,2025-01-18,85.24409484863281
atitlan,2025-01-18,1.8521771430969238
atitlan,2025-01-18,12.897310256958008
atitlan,2025-01-18,23.791297912597656
atitlan,2025-01-18,7.426362037658691
atitlan,2025-01-18,7.426362037658691
atitlan,2025-01-18,85.24409484863281
atitlan,2025-01-18,21.41470718383789
atitlan,2025-01-18,228.8552703857422
atitlan,2025-01-18,13.451619148254395
atitlan,2025-01-18,92.19324493408203
atitlan,2025-01-18,130.49534606933594
atitlan,2025-01-18,4.071000099182129
atitlan,2025-01-18,4.071000099182129
atitlan,2025-01-18,4.071000099182129
atitlan,2025-01-18,375.72283935546875
atitlan,2025-01-18,228.8552703857422
atitlan,2025-01-18,183.23397827148438
atitlan,2025-01-18,267.7883605957031
atitlan,2025-01-18,4.071000099182129
atitlan,2025-01-18,4.071000099182129
atitlan,2025-01-18,4.071000099182129
atitlan,2025-01-18,4.071000099182129
atitlan,2025-01-18,354.2298889160156
atitlan,2025-01-18,5.1378045082092285
atitlan,2025-01-18,5.1378045082092285
atitlan,2025-01-18,21.41470718383789
atitlan,2025-01-18,4.071000099182129
atitlan,2025-01-18,7.426362037658691
atitlan,2025-01-18,183.23397827148438
atitlan,2025-01-18,4.071000099182129
atitlan,2025-01-18,52.57128143310547
atitlan,2025-01-18,53.88166427612305
atitlan,2025-01-18,36.342674255371094
atitlan,2025-01-18,0.2646138668060303
atitlan,2025-01-18,5.033270359039307
atitlan,2025-01-18,4.071000099182129
atitlan,2025-01-18,1.1892728805541992
atitlan,2025-01-18,7.426362037658691
atitlan,2025-01-18,228.8552703857422
atitlan,2025-01-18,21.41470718383789
atitlan,2025-01-18,228.8552703857422
atitlan,2025-01-18,4.74640417098999
atitlan,2025-01-18,36.342674255371094
atitlan,2025-01-18,4.071000099182129
atitlan,2025-01-18,10.709281921386719
atitlan,2025-01-18,267.7883605957031
atitlan,2025-01-18,4.071000099182129
atitlan,2025-01-18,329.5596618652344
atitlan,2025-01-18,4.071000099182129
atitlan,2025-01-18,44.87362289428711
atitlan,2025-01-18,4.071000099182129
atitlan,2025-01-18,21.41470718383789
atitlan,2025-01-18,301.0269775390625
atitlan,2025-01-18,10.709281921386719
atitlan,2025-01-18,7.426359176635742
atitlan,2025-01-18,21.41470718383789
atitlan,2025-01-18,12.897310256958008
atitlan,2025-01-18,130.49534606933594
atitlan,2025-01-18,21.41470718383789
atitlan,2025-01-18,21.41470718383789
atitlan,2025-01-18,6.16354513168335
atitlan,2025-01-18,14.37572193145752
atitlan,2025-01-18,44.87362289428711
atitlan,2025-01-18,4.071000099182129
atitlan,2025-01-18,21.41470718383789
atitlan,2025-01-18,183.23397827148438
atitlan,2025-01-18,329.5596618652344
atitlan,2025-01-18,87.32855224609375
atitlan,2025-01-18,6.16354513168335
atitlan,2025-01-18,329.5596618652344
atitlan,2025-01-18,32.30790710449219
atitlan,2025-01-18,4.071000099182129
atitlan,2025-01-18,1.7752902507781982
