strategy,model,n_test,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp
temporal,Logistic regression,6453,0.8871842553850922,0.9429892141756548,0.748471259682022,0.8345454545454546,0.9503318385650223,3889,111,617,1836
temporal,Random forest,6453,0.8298465829846583,0.7626987204342769,0.801875254790053,0.7817965023847376,0.9230859152058704,3388,612,486,1967
temporal,Gradient boosting,6453,0.7752983108631645,0.65865232521354,0.8487566245413779,0.7417171357320983,0.8664387994292704,2921,1079,371,2082
