,mean_abs_shap,value_vs_shap_corr
B08,0.20225088830885607,0.7389852633967071
B02,0.12124103115478495,-0.8484015418127587
B03,0.09014004674090942,0.5153226689309017
B11,0.043631647000101366,-0.4725954780822124
B12,0.043352719717755527,-0.8207237667259556
