lake,zone,west,east,south,north,observations,water_pixel_observations,chlorophyll_valid_pixel_observations,chlorophyll_coverage_percent,mean_chlorophyll_proxy,mean_high_value_percent,peak_high_value_percent,peak_date,first_high_value_percent,last_high_value_percent,change_first_last_pp,persistent_area_percent
amatitlan,noreste,-90.57549449999999,-90.512924,14.453073,14.493799,11,34082,34071,99.96772489877355,28.32435954830847,39.80345603597772,96.53003686835827,2026-06-19,66.63074712643679,96.53003686835827,29.89928974192148,57.70245585549015
amatitlan,noroeste,-90.638065,-90.57549449999999,14.453073,14.493799,11,91091,90614,99.47634782799618,27.717718833788457,31.168507729853207,94.0130757364284,2026-06-19,24.00934769355822,94.0130757364284,70.0037280428702,39.3952802359882
amatitlan,sureste,-90.57549449999999,-90.512924,14.412347,14.453073,11,132386,132174,99.83986222108078,18.508748106007165,19.84470223206872,91.39517345399697,2026-06-19,8.115942028985506,91.39517345399697,83.27923142501147,6.410036088675031
amatitlan,suroeste,-90.638065,-90.57549449999999,14.412347,14.453073,11,532,522,98.1203007518797,4.872813314313633,4.839939024390244,37.5,2025-01-28,37.5,,,1.2345679012345678
atitlan,noreste,-91.198883,-91.07151,14.6728895,14.750979,11,1138547,881153,77.39276463773564,4.521920741474775,1.7800064791899224,17.438049232101662,2025-01-18,17.438049232101662,0.0026241553499967,-17.435425076751667,0.0299379335523913
atitlan,noroeste,-91.326256,-91.198883,14.6728895,14.750979,11,923447,714821,77.40790754639953,4.559383308662461,1.5276620422139702,12.45101710861642,2025-01-18,12.45101710861642,0.0371674837613493,-12.413849624855072,0.0421180315716764
atitlan,sureste,-91.198883,-91.07151,14.5948,14.6728895,11,145901,93465,64.06056161369695,5.256663901956507,1.6824192110801055,9.735700550064845,2025-01-18,9.735700550064845,1.818181818181818,-7.917518731883026,0.5680622764569746
atitlan,suroeste,-91.326256,-91.198883,14.5948,14.6728895,11,163957,108226,66.00877059228945,3.7325355919230514,0.9560746512429896,3.1301642850199283,2025-11-21,2.624013381422821,1.145311381531854,-1.4787019998909676,0.847424684159378
